Record Type,Date and Time,Annotation,Average Above PAR,Average Below PAR,Tau,Leaf Area Index [LAI],Leaf Distribuition [_],Beam Fraction [Fb],Zenith Angle,Latitude,Longitude
SUM,11:31:51,9D.01,0,1427.7,0,0,0,0,31,42,-77
SUM,11:33:08,9D.03,0,990.3,0,0,0,0,31,42,-77
SUM,11:33:50,9D.05,0,1121.2,0,0,0,0,31,42,-77
SUM,11:34:20,9D.15,0,986.5,0,0,0,0,31,42,-77
SUM,11:34:52,9D.13,0,709.3,0,0,0,0,31,42,-77
SUM,11:35:27,9D.11,0,1086.5,0,0,0,0,31,42,-77
SUM,11:36:01,9D.21,0,523.5,0,0,0,0,30,42,-77
SUM,11:36:39,9D.23,0,1530.1,0,0,0,0,30,42,-77
SUM,11:37:07,9D.25,0,1337.6,0,0,0,0,30,42,-77
SUM,11:47:36,8D.01,0,1106.2,0,0,0,0,30,42,-77
SUM,11:49:34,8D.03,0,950,0,0,0,0,30,42,-77
SUM,11:50:41,8D.05,0,88.6,0,0,0,0,30,42,-77
SUM,11:52:01,8D.15,0,611.1,0,0,0,0,30,42,-77
SUM,11:52:56,8D.13,0,908.5,0,0,0,0,30,42,-77
SUM,11:53:58,8D.11,0,1381,0,0,0,0,30,42,-77
SUM,11:54:45,8D.21,0,656.9,0,0,0,0,30,42,-77
SUM,11:55:54,8D.23,0,1745.1,0,0,0,0,30,42,-77
SUM,11:56:51,8D.25,0,1245.6,0,0,0,0,30,42,-77
SUM,12:15:04,7D.01,0,305.2,0,0,0,0,30,42,-77
SUM,12:15:40,7D.03,0,659.9,0,0,0,0,30,42,-77
SUM,12:16:08,7D.05,0,574.5,0,0,0,0,30,42,-77
SUM,12:16:32,7D.15,0,354.5,0,0,0,0,30,42,-77
SUM,12:17:27,7D.13,0,542.3,0,0,0,0,30,42,-77
SUM,12:17:57,7D.11,0,550.4,0,0,0,0,30,42,-77
SUM,12:18:25,7D.21,0,158.4,0,0,0,0,30,42,-77
SUM,12:18:51,7D.23,0,621.4,0,0,0,0,30,42,-77
SUM,12:19:01,7D.23,0,629,0,0,0,0,30,42,-77
SUM,12:19:35,7D.25,0,568.9,0,0,0,0,30,42,-77
SUM,12:37:45,7A.01?,0,0,0,0,0,0,31,42,-77
SUM,12:37:48,7A.03?,0,0,0,0,0,0,31,42,-77
SUM,12:38:09,7A.01?,0,1026.1,0,0,0,0,31,42,-77
