Record Type,Date and Time,Annotation,Average Above PAR,Average Below PAR,Tau [_],Leaf Area Index [LAI],Leaf Distribuition [_],Beam Fraction [Fb],Zenith Angle,Latitude,Longitude
SUM,10:39:06,,0.0,1588.6,0.000,0.00,1.00,0.00,38.00,44.00,-80.00
SUM,10:40:06,,0.0,1594.2,0.000,0.00,1.00,0.00,38.00,44.00,-80.00
SUM,10:41:06,,0.0,1597.6,0.000,0.00,1.00,0.00,38.00,44.00,-80.00
SUM,10:41:12,,0.0,1595.8,0.000,0.00,1.00,0.00,38.00,44.00,-80.00
SUM,10:41:56,,0.0,1594.5,0.000,0.00,1.00,0.00,35.00,42.00,-77.00
SUM,10:42:56,,0.0,1594.2,0.000,0.00,1.00,0.00,35.00,42.00,-77.00
SUM,10:43:56,,0.0,1596.5,0.000,0.00,1.00,0.00,35.00,42.00,-77.00
SUM,10:44:56,,0.0,1603.1,0.000,0.00,1.00,0.00,35.00,42.00,-77.00
SUM,10:45:56,,0.0,1605.5,0.000,0.00,1.00,0.00,35.00,42.00,-77.00
SUM,10:46:56,,0.0,1609.3,0.000,0.00,1.00,0.00,34.00,42.00,-77.00
SUM,10:47:56,,0.0,1616.7,0.000,0.00,1.00,0.00,34.00,42.00,-77.00
SUM,10:48:56,,0.0,1618.3,0.000,0.00,1.00,0.00,34.00,42.00,-77.00
SUM,10:49:56,,0.0,1620.6,0.000,0.00,1.00,0.00,34.00,42.00,-77.00
SUM,10:50:56,,0.0,1622.6,0.000,0.00,1.00,0.00,34.00,42.00,-77.00
SUM,10:51:56,,0.0,1625.6,0.000,0.00,1.00,0.00,34.00,42.00,-77.00
SUM,10:52:56,,0.0,1630.1,0.000,0.00,1.00,0.00,34.00,42.00,-77.00
SUM,10:53:56,,0.0,1631.0,0.000,0.00,1.00,0.00,34.00,42.00,-77.00
SUM,10:54:56,,0.0,1636.4,0.000,0.00,1.00,0.00,34.00,42.00,-77.00
SUM,10:55:56,,0.0,1637.1,0.000,0.00,1.00,0.00,33.00,42.00,-77.00
SUM,10:56:56,,0.0,1638.8,0.000,0.00,1.00,0.00,33.00,42.00,-77.00
SUM,10:57:56,,0.0,1643.1,0.000,0.00,1.00,0.00,33.00,42.00,-77.00
SUM,10:58:56,,0.0,1642.3,0.000,0.00,1.00,0.00,33.00,42.00,-77.00
SUM,10:59:56,,0.0,1643.8,0.000,0.00,1.00,0.00,33.00,42.00,-77.00
SUM,11:00:56,,0.0,1648.5,0.000,0.00,1.00,0.00,33.00,42.00,-77.00
SUM,11:01:56,,0.0,1650.3,0.000,0.00,1.00,0.00,33.00,42.00,-77.00
SUM,11:02:56,,0.0,1656.8,0.000,0.00,1.00,0.00,33.00,42.00,-77.00
SUM,11:03:56,,0.0,1659.1,0.000,0.00,1.00,0.00,33.00,42.00,-77.00
SUM,11:04:56,,0.0,1659.7,0.000,0.00,1.00,0.00,33.00,42.00,-77.00
SUM,11:05:56,,0.0,1661.7,0.000,0.00,1.00,0.00,33.00,42.00,-77.00
SUM,11:06:56,,0.0,1661.5,0.000,0.00,1.00,0.00,32.00,42.00,-77.00
SUM,11:07:56,,0.0,1663.5,0.000,0.00,1.00,0.00,32.00,42.00,-77.00
SUM,11:08:56,,0.0,1667.7,0.000,0.00,1.00,0.00,32.00,42.00,-77.00
SUM,11:09:56,,0.0,1667.5,0.000,0.00,1.00,0.00,32.00,42.00,-77.00
SUM,11:10:56,,0.0,1669.5,0.000,0.00,1.00,0.00,32.00,42.00,-77.00
SUM,11:11:56,,0.0,1670.7,0.000,0.00,1.00,0.00,32.00,42.00,-77.00
SUM,11:12:56,,0.0,1672.5,0.000,0.00,1.00,0.00,32.00,42.00,-77.00
SUM,11:13:56,,0.0,1675.0,0.000,0.00,1.00,0.00,32.00,42.00,-77.00
SUM,11:14:56,,0.0,1677.4,0.000,0.00,1.00,0.00,32.00,42.00,-77.00
SUM,11:15:56,,0.0,1678.7,0.000,0.00,1.00,0.00,32.00,42.00,-77.00
SUM,11:16:56,,0.0,1679.1,0.000,0.00,1.00,0.00,32.00,42.00,-77.00
SUM,11:17:56,,0.0,1680.5,0.000,0.00,1.00,0.00,32.00,42.00,-77.00
SUM,11:18:56,,0.0,1683.2,0.000,0.00,1.00,0.00,32.00,42.00,-77.00
SUM,11:19:56,,0.0,1687.0,0.000,0.00,1.00,0.00,31.00,42.00,-77.00
SUM,11:20:56,,0.0,1688.8,0.000,0.00,1.00,0.00,31.00,42.00,-77.00
